0,1,2,3
U,F,L,2F
U,F,L,2R
U,F,L,2L
U,F,L,2B
U,F,L,2D
U,F,L,2U'
U,F,L,2F'
U,F,L,2R'
U,F,L,2L'
U,F,L,2B'
U,F,L,2D'
U,F,B,U
U,F,B,F
U,F,B,R
U,F,B,L
U,F,B,B
U,F,B,D
U,F,B,U'
U,F,B,F'
U,F,B,R'
U,F,B,L'
U,F,B,B'
U,F,B,D'
U,F,B,2U
U,F,B,2F
U,F,B,2R
U,F,B,2L
U,F,B,2B
U,F,B,2D
U,F,B,2U'
U,F,B,2F'
U,F,B,2R'
U,F,B,2L'
U,F,B,2B'
U,F,B,2D'
U,F,D,U
U,F,D,F
U,F,D,R
U,F,D,L
U,F,D,B
U,F,D,D
U,F,D,U'
U,F,D,F'
U,F,D,R'
U,F,D,L'
U,F,D,B'
U,F,D,D'
U,F,D,2U
U,F,D,2F
U,F,D,2R
U,F,D,2L
U,F,D,2B
U,F,D,2D
U,F,D,2U'
U,F,D,2F'
U,F,D,2R'
U,F,D,2L'
U,F,D,2B'
U,F,D,2D'
U,F,U',U
U,F,U',F
U,F,U',R
U,F,U',L
U,F,U',B
U,F,U',D
U,F,U',U'
U,F,U',F'
U,F,U',R'
U,F,U',L'
U,F,U',B'
U,F,U',D'
U,F,U',2U
U,F,U',2F
U,F,U',2R
U,F,U',2L
U,F,U',2B
U,F,U',2D
U,F,U',2U'
U,F,U',2F'
U,F,U',2R'
U,F,U',2L'
U,F,U',2B'
U,F,U',2D'
U,F,F',U
U,F,F',F
U,F,F',R
U,F,F',L
U,F,F',B
U,F,F',D
U,F,F',U'
U,F,F',F'
U,F,F',R'
U,F,F',L'
U,F,F',B'
U,F,F',D'
U,F,F',2U
U,F,F',2F
U,F,F',2R
U,F,F',2L
U,F,F',2B
U,F,F',2D
U,F,F',2U'
U,F,F',2F'
U,F,F',2R'
U,F,F',2L'
U,F,F',2B'
U,F,F',2D'
U,F,R',U
U,F,R',F
U,F,R',R
U,F,R',L
U,F,R',B
U,F,R',D
U,F,R',U'
U,F,R',F'
U,F,R',R'
U,F,R',L'
U,F,R',B'
U,F,R',D'
U,F,R',2U
U,F,R',2F
U,F,R',2R
U,F,R',2L
U,F,R',2B
U,F,R',2D
U,F,R',2U'
U,F,R',2F'
U,F,R',2R'
U,F,R',2L'
U,F,R',2B'
U,F,R',2D'
U,F,L',U
U,F,L',F
U,F,L',R
U,F,L',L
U,F,L',B
U,F,L',D
U,F,L',U'
U,F,L',F'
U,F,L',R'
U,F,L',L'
U,F,L',B'
U,F,L',D'
U,F,L',2U
U,F,L',2F
U,F,L',2R
U,F,L',2L
U,F,L',2B
U,F,L',2D
U,F,L',2U'
U,F,L',2F'
U,F,L',2R'
U,F,L',2L'
U,F,L',2B'
U,F,L',2D'
U,F,B',U
U,F,B',F
U,F,B',R
U,F,B',L
U,F,B',B
U,F,B',D
U,F,B',U'
U,F,B',F'
U,F,B',R'
U,F,B',L'
U,F,B',B'
U,F,B',D'
U,F,B',2U
U,F,B',2F
U,F,B',2R
U,F,B',2L
U,F,B',2B
U,F,B',2D
U,F,B',2U'
U,F,B',2F'
U,F,B',2R'
U,F,B',2L'
U,F,B',2B'
U,F,B',2D'
U,F,D',U
U,F,D',F
U,F,D',R
U,F,D',L
U,F,D',B
U,F,D',D
U,F,D',U'
U,F,D',F'
U,F,D',R'
U,F,D',L'
U,F,D',B'
U,F,D',D'
U,F,D',2U
U,F,D',2F
U,F,D',2R
U,F,D',2L
U,F,D',2B
U,F,D',2D
U,F,D',2U'
U,F,D',2F'
U,F,D',2R'
U,F,D',2L'
U,F,D',2B'
U,F,D',2D'
U,F,2U,U
U,F,2U,F
U,F,2U,R
U,F,2U,L
U,F,2U,B
U,F,2U,D
U,F,2U,U'
U,F,2U,F'
U,F,2U,R'
U,F,2U,L'
U,F,2U,B'
U,F,2U,D'
U,F,2U,2U
U,F,2U,2F
U,F,2U,2R
U,F,2U,2L
U,F,2U,2B
U,F,2U,2D
U,F,2U,2U'
U,F,2U,2F'
U,F,2U,2R'
U,F,2U,2L'
U,F,2U,2B'
U,F,2U,2D'
U,F,2F,U
U,F,2F,F
U,F,2F,R
